"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","COMMENT","FULLNAME","GROUP","MANUFACTURER","NAMECOMP","NOISE","PART NUMBER","POWER","PRECISION","PRICE","TKE","TKS","TU","TU_COM","TYPE","TYPECOMP","VALUE","VOLT","SHEETPART","DESIGNATOR","DESCRIPTION"
"ERJ6GEYJ102","","","","","","","","","","","","Резисторы","Panasonic","","","Резистор 0805, 0,125Вт, 1кОм±5% ERJ6GEYJ102","0,125","±5%","","","","TU","","Type","","1k","","*","R?","Резистор Panasonic 0805 5% 1к "
"ERJ6GEYJ104","","","","","","","","","","","","Резисторы","Panasonic","","","Резистор 0805, 0,125Вт, 100кОм±5% ERJ6GEYJ104","0,125","±5%","","","","TU","","Type","","100k","","*","R?","Резистор Panasonic 0805 5% 100к"
"ERJ6GEYJ121","","","","","","","","","","","","Резисторы","Panasonic","","","Резистор 0805, 0,125Вт, 120Ом±5% ERJ6GEYJ121","0,125","±5%","","","","TU","","Type","","120","","*","R?","Резистор Panasonic 0805 5% 120Ом"
"ERJ6GEYJ201","","","","","","","","","","","","Резисторы","Panasonic","","","Резистор 0805, 0,125Вт, 20Ом±5% ERJ6GEYJ201","0,125","±5%","","","","TU","","Type","","200","","*","R?","Резистор Panasonic 0805 5% 200Ом"
"ERJ6GEYJ331","","","","","","","","","","","","Резисторы","Panasonic","","","Резистор 0805, 0,125Вт, 330Ом±5% ERJ6GEYJ331","0,125","±5%","","","","TU","","Type","","330","","*","R?","Резистор Panasonic 0805 5% 330Ом"
"ERJ6GEYJ750","","","","","","","","","","","","Резисторы","Panasonic","","","Резистор 0805, 0,125Вт, 75Ом±5% ERJ6GEYJ750","0,125","±5%","","","","TU","","Type","","75","","*","R?","Резистор Panasonic 0805 5% 75Ом"
"ERJ6RBD1500","","","","","","","","","","","","Резисторы","Panasonic","","","Резистор 0805, 0,1Вт, 150Ом±0,5% ERJ6RBD1500","0,1","±0,5%","","","","TU","","Type","","150","","*","R?","Резистор прец Panasonic 0805 0.5% 150Ом"
"EVAL-ADuCM360","","","","","","","","","","EVAL-ADuCM360","","Модули радиоэлектронные","Analog Devices","","","","","","10000","","","","","EVAL-ADuCM360","","","","*","A?",""
"EVAL-ADuCM360MKZ","","","","","","","","","","EVAL-ADuCM360MKZ","","","Analog Devices","","","","","","10000","","","","","Модуль процессорный EVAL-ADuCM360MKZ","","","","*","A?","Модуль процессорный"
"FT232RL","TSSOP28_W7.8","","","","","","","","","FT232RL","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"FUSE","","","","","","","","","","FUSE","","Group","","","","","","","","","","TU","","Type","","","","*","F?",""
"GEN","","","","","","","","","","ГК-CPPL-C7","ГК-CPPL-C7-A7BR-1.0M-PD ПГКФ.433526.025 ТУ","Микросхемы","","","","","","","250","","","ПГКФ.433526.025 ТУ","","ГК-CPPL-C7-A7BR-1.0M-PD","","","","*","DD?",""
